adm0_name,adm0_gaulcode,adm0_pcod3,adm0_pcod2,region,adm1_name,adm1_gaulcode,adm1_pcod3,adm1_pcod2,adm2_name,adm2_gaulcode,adm2_pcod3,adm2_pcod2,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35,chtype,exercise_code,exercise_label,exercise_year,reference_code,reference_label,reference_year,foodconsumption_phase,livelihoods_phase,nutrition_phase,mortality_phase,usethisperiod
Mali,155,MLI,ML,,Kayes,1928,MLI001,ML01,Diema,19377,MLI001002,ML0102,307732,1,264650,36928,6155,0,0,6155,current,2,Jan-May,2021,2,Jan-May,2021,1,1,2,,Y
Mali,155,MLI,ML,,Kayes,1928,MLI001,ML01,Kayes,19378,MLI001003,ML0103,745704,1,626391,111856,7457,0,0,7457,current,2,Jan-May,2021,2,Jan-May,2021,1,1,2,,Y
Mali,155,MLI,ML,,Kayes,1928,MLI001,ML01,Kenieba,19379,MLI001004,ML0104,286339,1,240525,42951,2863,0,0,2863,current,2,Jan-May,2021,2,Jan-May,2021,1,,2,,Y
Mali,155,MLI,ML,,Kayes,1928,MLI001,ML01,Kita,19380,MLI001005,ML0105,628523,1,540530,75423,12570,0,0,12570,current,2,Jan-May,2021,2,Jan-May,2021,1,,2,,Y
Mali,155,MLI,ML,,Kayes,1928,MLI001,ML01,Nioro,19381,MLI001006,ML0106,332659,1,272780,43246,16633,0,0,16633,current,2,Jan-May,2021,2,Jan-May,2021,1,2,2,,Y
Mali,155,MLI,ML,,Kayes,1928,MLI001,ML01,Yelimane,19382,MLI001007,ML0107,256502,1,228287,25650,2565,0,0,2565,current,2,Jan-May,2021,2,Jan-May,2021,1,1,2,,Y
Mali,155,MLI,ML,,Kidal,1929,MLI008,ML08,Abeibara,19383,MLI008001,ML0801,14961,2,9276,3740,1945,0,0,1945,current,2,Jan-May,2021,2,Jan-May,2021,2,3,2,,Y
Mali,155,MLI,ML,,Kidal,1929,MLI008,ML08,Kidal,19384,MLI008002,ML0802,48630,2,38418,9240,973,0,0,973,current,2,Jan-May,2021,2,Jan-May,2021,1,3,3,,Y
Mali,155,MLI,ML,,Kidal,1929,MLI008,ML08,Tessalit,19385,MLI008003,ML0803,23185,2,18084,4405,696,0,0,696,current,2,Jan-May,2021,2,Jan-May,2021,1,2,3,,Y
Mali,155,MLI,ML,,Kidal,1929,MLI008,ML08,Tin-Essako,19386,MLI008004,ML0804,11657,2,8393,2565,699,0,0,699,current,2,Jan-May,2021,2,Jan-May,2021,1,2,3,,Y
Mali,155,MLI,ML,,Koulikoro,1930,MLI002,ML02,Banamba,19387,MLI002001,ML0201,277555,1,238697,33307,5551,0,0,5551,current,2,Jan-May,2021,2,Jan-May,2021,1,,2,,Y
Mali,155,MLI,ML,,Koulikoro,1930,MLI002,ML02,Dioila,19388,MLI002002,ML0202,710488,1,603915,99468,7105,0,0,7105,current,2,Jan-May,2021,2,Jan-May,2021,1,,2,,Y
Mali,155,MLI,ML,,Koulikoro,1930,MLI002,ML02,Kangaba,19389,MLI002003,ML0203,145891,1,126925,17507,1459,0,0,1459,current,2,Jan-May,2021,2,Jan-May,2021,1,,2,,Y
Mali,155,MLI,ML,,Koulikoro,1930,MLI002,ML02,Kati,19390,MLI002004,ML0204,1390284,1,1167839,208543,13903,0,0,13903,current,2,Jan-May,2021,2,Jan-May,2021,1,,2,,Y
Mali,155,MLI,ML,,Koulikoro,1930,MLI002,ML02,Kolokani,19391,MLI002005,ML0205,337852,1,290553,40542,6757,0,0,6757,current,2,Jan-May,2021,2,Jan-May,2021,1,,2,,Y
Mali,155,MLI,ML,,Koulikoro,1930,MLI002,ML02,Koulikoro,19392,MLI002006,ML0206,306045,1,266259,33665,6121,0,0,6121,current,2,Jan-May,2021,2,Jan-May,2021,1,,2,,Y
Mali,155,MLI,ML,,Koulikoro,1930,MLI002,ML02,Nara,19393,MLI002007,ML0207,351517,1,284729,52728,14061,0,0,14061,current,2,Jan-May,2021,2,Jan-May,2021,1,1,3,,Y
Mali,155,MLI,ML,,Mopti,1931,MLI005,ML05,Bandiagara,19394,MLI005001,ML0501,455492,3,191307,145757,109318,9110,0,118428,current,2,Jan-May,2021,2,Jan-May,2021,2,4,3,,Y
Mali,155,MLI,ML,,Mopti,1931,MLI005,ML05,Bankass,19395,MLI005002,ML0502,384753,3,157749,130816,88493,7695,0,96188,current,2,Jan-May,2021,2,Jan-May,2021,3,3,3,,Y
Mali,155,MLI,ML,,Mopti,1931,MLI005,ML05,Djenne,19396,MLI005003,ML0503,302851,1,257423,36342,9086,0,0,9086,current,2,Jan-May,2021,2,Jan-May,2021,1,1,2,,Y
Mali,155,MLI,ML,,Mopti,1931,MLI005,ML05,Douentza,19397,MLI005004,ML0504,358378,2,229362,82427,46589,0,0,46589,current,2,Jan-May,2021,2,Jan-May,2021,2,3,2,,Y
Mali,155,MLI,ML,,Mopti,1931,MLI005,ML05,Koro_accessible,,MLI005005_a,ML0505_a,269776,2,161866,75537,32373,0,0,32373,current,2,Jan-May,2021,2,Jan-May,2021,2,1,3,,Y
Mali,155,MLI,ML,,Mopti,1931,MLI005,ML05,Koro_limitedaccess,,MLI005005_al,ML0505_al,257109,3,71991,107986,71991,5142,0,77133,current,2,Jan-May,2021,2,Jan-May,2021,3,,3,,Y
Mali,155,MLI,ML,,Mopti,1931,MLI005,ML05,Mopti,19399,MLI005006,ML0506,536066,1,461017,53607,21443,0,0,21443,current,2,Jan-May,2021,2,Jan-May,2021,1,1,2,,Y
Mali,155,MLI,ML,,Mopti,1931,MLI005,ML05,Tenenkou,19400,MLI005007,ML0507,236749,2,160989,59187,16572,0,0,16572,current,2,Jan-May,2021,2,Jan-May,2021,1,2,3,,Y
Mali,155,MLI,ML,,Mopti,1931,MLI005,ML05,Youwarou,19401,MLI005008,ML0508,157698,1,129312,20501,7885,0,0,7885,current,2,Jan-May,2021,2,Jan-May,2021,1,1,3,,Y
Mali,155,MLI,ML,,Segou,1932,MLI004,ML04,Baroueli,19402,MLI004001,ML0401,294790,1,265311,29479,0,0,0,0,current,2,Jan-May,2021,2,Jan-May,2021,1,,2,,Y
Mali,155,MLI,ML,,Segou,1932,MLI004,ML04,Bla,19403,MLI004002,ML0402,412220,1,370998,41222,0,0,0,0,current,2,Jan-May,2021,2,Jan-May,2021,1,,3,,Y
Mali,155,MLI,ML,,Segou,1932,MLI004,ML04,Macina,19404,MLI004003,ML0403,343050,1,281301,51458,10292,0,0,10292,current,2,Jan-May,2021,2,Jan-May,2021,1,1,2,,Y
Mali,155,MLI,ML,,Segou,1932,MLI004,ML04,Niono,19405,MLI004004,ML0404,530204,2,418861,95437,15906,0,0,15906,current,2,Jan-May,2021,2,Jan-May,2021,1,1,2,,Y
